S.No.,State,City,Category,Alcohol,Hotel Name,Address,Total Rooms,Ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Delhi,New Delhi,1 Star,Without Alcohol,Hotel LA  A unit of L A Hotels And Retreats Pvt  Ltd  ,plot no A 1  Community Centre  Road No 43  Mangolpuri Industrial Area Phase   2  Pitampura New Delhi,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gujarat,Adalaj,1 Star,Without Alcohol,Amba Suites  Unit of Amba Township Private Limited,Amba Business Park  Shivam     II  Sub Plot No  M1  Block No  477   478,64,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gujarat,Ahmedabad,1 Star,Without Alcohol,Hotel Pragati The Grand  A Unit of Pragati The Grand Residency ,SP 2 FP 2342 PAIKI  NR ZYDUS CADILA HOSPITAL HEBATPUR ROAD THALTEJ Ahmedabad,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gujarat,Ahmedabad,1 Star,Without Alcohol,Hotel Rezaas,375 1  Sheetal Baug  Nr  Girish Cold Drink  Off C  G  Road  Mithakhali  Ellisbridge  Ahmedabad 380006,38,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gujarat,Anand,1 Star,Without Alcohol,HOTEL ARIZONA INN,OPP  S R PARK  ANAND  SOJITRA ROAD  ANAND  388001,28,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gujarat,Bhavnagar,1 Star,Without Alcohol,Blackbuck Safari Lodge,Near Narmada Canal  Velavadar  Ayodhyapuram Road  Village Rajgadh  Taluka  District Bhavnagar,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gujarat,Gandhinagar,1 Star,Without Alcohol,7 Wonders,Ugati Corporate Park  Opp  Pratik Mall  Kudasan   Por Road  Kudasan,19,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Gujarat,Gandhinagar,1 Star,Without Alcohol,Jinanssh Hotels,White House  Near Vijay Petrol Pump  Opp  Sachivalaya  Sector 11,58,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gujarat,Morvi,1 Star,Without Alcohol,Avadh Fun Hub,Revenue Survey No  609 Paiki 2  Opp  Dhartidhan Hotel  Rajkot Morvi Highway  Nr  Lajai Chowkdi,12,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gujarat,Rajkot,1 Star,Without Alcohol,The Pinevinta Hotel,Near Bombay Petrol Pump  Gondal Road Rajkot,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Gujarat,Surat,1 Star,Without Alcohol,GEN X  SURAT  A UNIT OF KADODARA HOTELS ,415  4TH FLOOR  CHHATRALA CITY CENTER  NATIONAL HIGHWAY  08  NEAR KADODARA CHAR RASTA  AT   POST  UMBHEL  TAL  KAMREJ  SURAT 394325 Surat Surat Surat,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Gujarat,Vadodara,1 Star,Without Alcohol,HOTEL APPLE GRAND ,SURVEY NO 564 AND 565 N H 08 VILLAGE   TARASALI VADODRA BY PASS,42,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gujarat,Vadodara,1 Star,Without Alcohol,VADPADRAKA HOTEL   RESORT,VADPADRAKA HOTEL   RESORT  SURVEY NO 58 B  PAIKI  BETWEEN SUMANDEEP AND PARUL UNIVERSITY  OPPOSITE VNS HOSTEL AT DATTAPURA  P O  LIMDA 391760  GUJARAT,18,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Gujarat,Veraval,1 Star,Without Alcohol,The Divine Water World,Junagadh Somnath Highway  Near Dari Toll Plaza  Opp  Over Bridge  Village Dari,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Madhya Pradesh,Dhar,1 Star,Without Alcohol,HOTEL JAHAJMAHAL,MANDU  MADHYA PRADESH,25,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Maharashtra,Lonavala,1 Star,Without Alcohol,HOTEL MANIK MOTI,GAT NO 164 KURAVANDE VILLAGE  INS SHIVAJI ROAD  LONAVLA   TAL MAVAL DIST PUNE ,19,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Andaman And Nicobar,Port Blair ,2 Star,Without Alcohol,HOTEL SHREESH,LINK ROAD  GOAL GHAR  PORT BLAIR  ANDAMAN   NICOBAR ISLAND Port Blair ,38,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Assam,Dibrugarh,2 Star,Without Alcohol,COMFORT HOTEL,ROTARY ROAD  DIBRUGARH  ASSAM 786001 ,26,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Assam,Dibrugarh,2 Star,Without Alcohol,Hotel Sanjivani Heritage,Nirmali Gaon  Opposite City College  PO  C R Building,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Assam,Guwahati,2 Star,Without Alcohol,HOTEL NEZONE   A UNIT OF NEZONE GLASS PVT  LTD ,N H 37  GARCHUK  NEAR DY 365 NEWS CHANNEL  GUWAHATI  781035,28,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gujarat,Dwarka,2 Star,Without Alcohol,Cygnett Inn Dwarka  Unit of Om Enterprise ,Near Sai Baba Mandir,48,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gujarat,Gandhidham,2 Star,Without Alcohol,RAJVI HOTELS,,40,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Gujarat,Gandhidham,2 Star,Without Alcohol,The Neemaya Hotel  A Unit of Hotel Natraj ,Plot No 50  Sector 9  Opp  S T Bus Stand Gandhidham,51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gujarat,Gandhinagar,2 Star,Without Alcohol,Hotel The Hillock  A unit of HOTEL HILLOCK PRIVATE LIMITED ,HOTEL HILLOCK  S P RING ROAD BETWEEN VAISJHNODEVI CIRCLE   ZUNDAL CIRCLE  ZUNDAL Gandhinagar,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Gujarat,Jamnagar,2 Star,Without Alcohol,Raaj Svasti Inn  Unit of Raaj Enventure Private Limited,Plot No  2   3  R S No 64 1  Near A J Engineering  Jamnagar   Khambhaliya Road  Village Sapar,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gujarat,Kevadiya,2 Star,Without Alcohol,BRG BUDGET STAY  A unit of Anay Associates ,BRG BUDGET STAY NR AAROGYA VAN BHUMALIYA ROAD KEVADIA COLONY DIST NARMADA GUJARAT INDIA,139,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Gujarat,Morabi,2 Star,Without Alcohol,Club 36  Unit of Vrunda Entertainment LLP,Rajkot   Morbi Highway  Behind Jog Ashram  Lajai,10,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Gujarat,Morvi,2 Star,Without Alcohol,Shiv Hotel,Opp  Shiv Petroleum  Morbi   Halvad Highway  Nichi Mandal,21,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Gujarat,Navsari,2 Star,Without Alcohol,HARE KRISHNA HOTEL,Block no 568 2 Block no  573 Village Padgha national highway no  08 nr Veshma Chokdi Navsari 396445 Gujarat,15,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Gujarat,Porbandar,2 Star,Without Alcohol,HOTEL BALAJI PALACE,3 WADI POT MG ROAD KAMALA BAUG porbandar 360575,20,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gujarat,Saurashtra,2 Star,Without Alcohol,Rann Riders,Sh 18  Surendranagar  Dasada,29,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Gujarat,Vadodara,2 Star,Without Alcohol,EFFOTEL BY SAYAJI,EFFOTEL BY SAYAJI  OPPOSITE RAJSHREE CENTER  NEAR KALAGHODA CIRCLE SAYAJIGUNJ  VADODARA   390 005,83,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Himachal Pradesh,Manali,2 Star,Without Alcohol,HOTEL VALLEY OF GODS,VILLAGE   P O VASHISHT  TEHSIL  MANALI DISTT  KULLU  H P ,15,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Kerala,Thiruvananthapuram,2 Star,Without Alcohol,Hotel Marine Palace ,Beach Road   Hawah Beach  Kovalam P O   Thiruvananthapuram Dist   Kerala   Pin 695527,20,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Kerala,Thiruvananthapuram,2 Star,Without Alcohol,JEEVAN AYURVEDIC BEACH RESORT,LIGHT HOUSE BEACH  KOVALAM  VIZHINJAM P O,14,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Maharashtra,Kollhapur,2 Star,Without Alcohol,Hotel Vrishali Executive  A unit of Vrishali Hotels Pvt  Ltd  ,39 A 2  TARABAI PARK Kollhapur,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Maharashtra,SANTACURZ,2 Star,Without Alcohol,HOTEL AIRLINK,75 OFF NEHRU ROAD NEAR SANTACRUZ AIRPORT  VILE PARLE EAST   MUMBAI 400099 ,39,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Odisha,Sambalpur,2 Star,Without Alcohol,Welcome Spa and Resort,At Po  Majhilali  PS  Sasan  Sambalpur,41,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Rajasthan,Alwar,2 Star,Without Alcohol,SPARROW INN  A Unit of Alwar Hospitality Pvt  Ltd  ,MANU MARG  ALWAR Alwar,19,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Andhra Pradesh,East Godavari,3 Star,Without Alcohol,HOTEL SHELTON RAJAMAHENDRI,87 1 19B  AYYAPPA NAGAR  NEAR APSRTC COMPLEX ROAD  RAJAHMUNDRY ,97,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
