State,City,Ratings,Alcohol Availability,Hotel Name,Address,Total Rooms,,Category,Pricing,Meals
Delhi,New Delhi,3,Without Alcohol,Hotel LA  A unit of L A Hotels And Retreats Pvt  Ltd  ,plot no A 1  Community Centre  Road No 43  Mangolpuri Industrial Area Phase   2  Pitampura New Delhi,35,,1 Star,11597,All meals
Gujarat,Adalaj,5,Without Alcohol,Amba Suites  Unit of Amba Township Private Limited,Amba Business Park  Shivam     II  Sub Plot No  M1  Block No  477   478,64,,1 Star,11023,Dinner
Gujarat,Ahmedabad,4,Without Alcohol,Hotel Pragati The Grand  A Unit of Pragati The Grand Residency ,SP 2 FP 2342 PAIKI  NR ZYDUS CADILA HOSPITAL HEBATPUR ROAD THALTEJ Ahmedabad,45,,1 Star,9832,Lunch
Gujarat,Ahmedabad,2.2,Without Alcohol,Hotel Rezaas,375 1  Sheetal Baug  Nr  Girish Cold Drink  Off C  G  Road  Mithakhali  Ellisbridge  Ahmedabad 380006,38,,1 Star,10455,Breakfast
Gujarat,Anand,4.5,Without Alcohol,HOTEL ARIZONA INN,OPP  S R PARK  ANAND  SOJITRA ROAD  ANAND  388001,28,,1 Star,8764,Breakfast
Gujarat,Bhavnagar,5,Without Alcohol,Blackbuck Safari Lodge,Near Narmada Canal  Velavadar  Ayodhyapuram Road  Village Rajgadh  Taluka  District Bhavnagar,18,,1 Star,12345,Lunch
Gujarat,Gandhinagar,2.2,Without Alcohol,7 Wonders,Ugati Corporate Park  Opp  Pratik Mall  Kudasan   Por Road  Kudasan,19,,1 Star,9158,Dinner
Gujarat,Gandhinagar,4.4,Without Alcohol,Jinanssh Hotels,White House  Near Vijay Petrol Pump  Opp  Sachivalaya  Sector 11,58,,1 Star,14267,All meals
Gujarat,Morvi,3.2,Without Alcohol,Avadh Fun Hub,Revenue Survey No  609 Paiki 2  Opp  Dhartidhan Hotel  Rajkot Morvi Highway  Nr  Lajai Chowkdi,12,,1 Star,10896,Dinner
Gujarat,Rajkot,2,Without Alcohol,The Pinevinta Hotel,Near Bombay Petrol Pump  Gondal Road Rajkot,25,,1 Star,12789,Lunch
