hotel_id,state,city,ratings,alcohol_availability,hotel_name,total_rooms,category,pricing,meals
1,Delhi,New Delhi,3,Without Alcohol,Hotel LA  A unit of L A Hotels And Retreats Pvt  Ltd  ,35,1,11597,All meals
2,Gujarat,Adalaj,5,Without Alcohol,Amba Suites  Unit of Amba Township Private Limited,64,1,11023,Dinner
3,Gujarat,Ahmedabad,4,Without Alcohol,Hotel Pragati The Grand  A Unit of Pragati The Grand Residency ,45,1,9832,Lunch
4,Gujarat,Ahmedabad,2.2,Without Alcohol,Hotel Rezaas,38,1,10455,Breakfast
5,Gujarat,Anand,4.5,Without Alcohol,HOTEL ARIZONA INN,28,1,8764,Breakfast
6,Gujarat,Bhavnagar,5,Without Alcohol,Blackbuck Safari Lodge,18,1,12345,Lunch
7,Gujarat,Gandhinagar,2.2,Without Alcohol,7 Wonders,19,1,9158,Dinner
8,Gujarat,Gandhinagar,4.4,Without Alcohol,Jinanssh Hotels,58,1,14267,All meals
9,Gujarat,Morvi,3.2,Without Alcohol,Avadh Fun Hub,12,1,10896,Dinner
10,Gujarat,Rajkot,2,Without Alcohol,The Pinevinta Hotel,25,1,12789,Lunch
11,Gujarat,Surat,4,Without Alcohol,GEN X  SURAT  A UNIT OF KADODARA HOTELS ,49,1,9674,Breakfast
12,Gujarat,Vadodara,3.4,Without Alcohol,HOTEL APPLE GRAND ,42,1,8956,All meals
13,Gujarat,Vadodara,1.2,Without Alcohol,VADPADRAKA HOTEL   RESORT,18,1,13542,Dinner
14,Gujarat,Veraval,3,Without Alcohol,The Divine Water World,23,1,10321,All meals
15,Madhya Pradesh,Dhar,4.1,Without Alcohol,HOTEL JAHAJMAHAL,25,1,8345,Breakfast
16,Maharashtra,Lonavala,2.3,Without Alcohol,HOTEL MANIK MOTI,19,1,13987,Lunch
17,Andaman And Nicobar,Port Blair ,4.3,Without Alcohol,HOTEL SHREESH,38,2,18742,Dinner
18,Assam,Dibrugarh,2.3,Without Alcohol,COMFORT HOTEL,26,2,22563,Lunch
19,Assam,Dibrugarh,3,Without Alcohol,Hotel Sanjivani Heritage,28,2,25891,Breakfast
20,Assam,Guwahati,2.1,Without Alcohol,HOTEL NEZONE   A UNIT OF NEZONE GLASS PVT  LTD ,28,2,26874,Dinner
21,Gujarat,Dwarka,3.6,Without Alcohol,Cygnett Inn Dwarka  Unit of Om Enterprise ,48,2,21345,All meals
22,Gujarat,Gandhidham,2.9,Without Alcohol,RAJVI HOTELS,40,2,17982,Breakfast
23,Gujarat,Gandhidham,3,Without Alcohol,The Neemaya Hotel  A Unit of Hotel Natraj ,51,2,20217,All meals
24,Gujarat,Gandhinagar,4,Without Alcohol,Hotel The Hillock  A unit of HOTEL HILLOCK PRIVATE LIMITED ,49,2,27493,Breakfast
25,Gujarat,Jamnagar,3,Without Alcohol,Raaj Svasti Inn  Unit of Raaj Enventure Private Limited,48,2,19625,Dinner
26,Gujarat,Kevadiya,1.1,Without Alcohol,BRG BUDGET STAY  A unit of Anay Associates ,139,2,28109,Lunch
27,Gujarat,Morabi,2.3,Without Alcohol,Club 36  Unit of Vrunda Entertainment LLP,10,2,23456,All meals
28,Gujarat,Morvi,2.4,Without Alcohol,Shiv Hotel,21,2,24875,Lunch
29,Gujarat,Navsari,4.7,Without Alcohol,HARE KRISHNA HOTEL,15,2,18567,Breakfast
30,Gujarat,Porbandar,4.1,Without Alcohol,HOTEL BALAJI PALACE,20,2,19872,Dinner
31,Gujarat,Saurashtra,1.3,Without Alcohol,Rann Riders,29,2,16854,Breakfast
32,Gujarat,Vadodara,2.2,Without Alcohol,EFFOTEL BY SAYAJI,83,2,29234,All meals
33,Himachal Pradesh,Manali,3.6,Without Alcohol,HOTEL VALLEY OF GODS,15,2,25309,All meals
34,Kerala,Thiruvananthapuram,3.7,Without Alcohol,Hotel Marine Palace ,20,2,27456,Lunch
35,Kerala,Thiruvananthapuram,4.6,Without Alcohol,JEEVAN AYURVEDIC BEACH RESORT,14,2,29845,Breakfast
36,Maharashtra,Kollhapur,1,Without Alcohol,Hotel Vrishali Executive  A unit of Vrishali Hotels Pvt  Ltd  ,84,2,22763,Dinner
37,Maharashtra,SANTACURZ,4.4,Without Alcohol,HOTEL AIRLINK,39,2,26981,Lunch
38,Odisha,Sambalpur,3.4,Without Alcohol,Welcome Spa and Resort,41,2,17392,All meals
